&b / deg,R_0 / 1/s
2.5,15.8
2.6,13.3
2.7,12.5
2.8,13.5
2.9,14.3
3.0,13.1
3.1,14.3
3.2,14.8
3.3,15.8
3.4,19.1
3.5,43.9
3.6,128.6
3.7,273.1
3.8,458.5
3.9,592.7
4.0,749.2
4.1,864.9
4.2,969.0
4.3,1026.9
4.4,1074.8
4.5,1113.8
4.6,1160.0
4.7,1159.7
4.8,1188.1
4.9,1207.1
5.0,1196.1
5.1,1203.9
5.2,1225.2
5.3,1197.6
5.4,1174.9
5.5,1170.0
5.6,1147.4
5.7,1118.8
5.8,1097.7
5.9,1073.5
6.0,1070.1
6.1,1249.8
6.2,1635.1
6.3,1905.3
6.4,1812.1
6.5,1472.7
6.6,1126.0
6.7,991.5
6.8,975.6
6.9,1327.0
7.0,2444.6
7.1,3276.7
7.2,3190.1
7.3,2459.0
7.4,1442.8
7.5,936.2
7.6,738.7
7.7,648.4
7.8,629.9
7.9,602.2
8.0,585.9
8.1,559.1
8.2,543.7
8.3,532.8
8.4,504.6
8.5,492.4
8.6,473.4
8.7,450.6
8.8,438.3
8.9,416.0
9.0,403.8
9.1,391.7
9.2,371.6
9.3,363.3
9.4,346.9
9.5,329.2
9.6,312.7
9.7,303.9
9.8,289.6
9.9,289.7
10.0,274.4
10.1,270.2
10.2,255.1
10.3,257.1
10.4,240.9
10.5,242.8
10.6,233.9
10.7,222.3
10.8,224.1
10.9,213.5
11.0,208.1
11.1,200.5
11.2,201.3
11.3,196.9
11.4,200.8
11.5,189.3
11.6,192.5
11.7,188.4
11.8,182.7
11.9,179.1
12.0,182.3
12.1,176.5
12.2,178.7
12.3,176.1
12.4,182.6
12.5,204.5
12.6,233.9
12.7,301.6
12.8,425.2
12.9,481.6
13.0,396.4
13.1,276.5
13.2,203.1
13.3,186.6
13.4,177.4
13.5,168.2
13.6,174.7
13.7,167.2
13.8,160.9
13.9,157.2
14.0,162.3
14.1,160.8
14.2,171.1
14.3,300.4
14.4,717.8
14.5,1048.7
14.6,1021.0
14.7,718.9
14.8,353.6
14.9,188.5
15.0,145.5
15.1,139.9
15.2,132.0
15.3,127.6
15.4,128.4
15.5,118.0
15.6,123.6
15.7,115.3
15.8,115.2
15.9,109.6
16.0,110.4
16.1,113.3
16.2,106.5
16.3,109.9
16.4,110.3
16.5,103.0
16.6,96.9
16.7,91.9
16.8,106.2
16.9,97.1
17.0,92.2
17.1,95.2
17.2,84.4
17.3,89.8
17.4,87.6
17.5,82.0
17.6,82.4
17.7,79.6
17.8,73.8
17.9,76.9
18.0,77.2
18.1,79.2
18.2,76.3
18.3,73.7
18.4,71.5
18.5,61.2
18.6,69.1
18.7,69.4
18.8,62.2
18.9,66.4
19.0,69.5
19.1,64.5
19.2,75.7
19.3,69.6
19.4,80.2
19.5,112.5
19.6,129.2
19.7,116.0
19.8,91.3
19.9,65.0
20.0,56.8
20.1,57.4
20.2,53.2
20.3,52.8
20.4,49.9
20.5,50.3
20.6,47.2
20.7,46.8
20.8,47.9
20.9,48.3
21.0,47.7
21.1,44.1
21.2,45.7
21.3,44.9
21.4,45.3
21.5,44.2
21.6,44.2
21.7,46.1
21.8,45.5
21.9,76.1
22.0,157.5
22.1,257.4
22.2,282.0
22.3,221.3
22.4,130.0
22.5,69.9
22.6,41.7
22.7,41.7
22.8,37.4
22.9,35.7
23.0,40.2
23.1,33.6
23.2,36.0
23.3,33.1
23.4,31.7
23.5,33.1
23.6,31.3
23.7,30.1
23.8,28.1
23.9,28.9
24.0,28.1
24.1,34.8
24.2,29.4
24.3,26.7
24.4,29.7
24.5,26.6
24.6,28.5
24.7,26.1
24.8,27.5
24.9,29.6
25.0,28.0
